panel_id,maker,direction,watts_per_hour
1,Solar Gain,North,313.8357603539587
2,Solar Gain,North,315.1400922784312
3,Solar Gain,North,315.5045372434795
4,Solar Gain,North,303.95870071638865
5,Solar Gain,North,313.7188911958306
6,Solar Gain,North,302.08890465443244
7,Solar Gain,North,313.2934003056854
8,Solar Gain,North,302.8361162298416
9,Solar Gain,North,300.64988647808815
10,Solar Gain,North,315.9055898727029
11,Solar Gain,North,316.32435717331947
12,Solar Gain,North,311.813542317568
13,Solar Gain,North,301.60571764259066
14,Solar Gain,North,309.7415045954341
15,Solar Gain,North,305.217372995499
16,Solar Gain,North,298.1705495035964
17,Solar Gain,North,309.31270921346226
18,Solar Gain,North,313.19277614565846
19,Solar Gain,North,311.85679262088604
20,Solar Gain,North,299.1069580083874
21,Solar Gain,North,308.63539286926556
22,Solar Gain,North,311.9484550361366
23,Solar Gain,North,314.88575606492066
24,Solar Gain,North,303.2648555686487
25,Solar Gain,North,308.48710569584694
26,Solar Gain,North,306.80583316186903
27,Solar Gain,North,309.88615326088023
28,Solar Gain,North,304.2311399103038
29,Solar Gain,North,306.3208111099304
30,Solar Gain,North,307.8007871004683
31,Solar Gain,North,301.34818026931134
32,Solar Gain,North,303.9639362797979
33,Solar Gain,North,314.79345201185805
34,Solar Gain,North,300.9293816629217
35,Solar Gain,North,313.8514451124093
36,Solar Gain,North,309.5046338407621
37,Solar Gain,North,306.23155956516797
38,Solar Gain,North,299.56906223127334
39,Solar Gain,North,308.0873235995135
40,Solar Gain,North,306.3439584107176
41,Solar Gain,North,312.23435268203997
42,Solar Gain,North,304.4844142454418
43,Solar Gain,North,308.85243870484993
44,Solar Gain,North,314.90719071357853
45,Solar Gain,North,311.5089576834081
46,Solar Gain,North,300.36523558136446
47,Solar Gain,North,311.6973491029605
48,Solar Gain,North,315.2941980023702
49,Solar Gain,North,303.01019003468167
50,Solar Gain,North,307.7167026718083
51,Sunny Side Up,North,340.1923457574371
52,Sunny Side Up,North,334.47595371526774
53,Sunny Side Up,North,323.38735417554375
54,Sunny Side Up,North,338.4359209368941
55,Sunny Side Up,North,303.4494174726036
56,Sunny Side Up,North,340.98393346426815
57,Sunny Side Up,North,337.06998772283106
58,Sunny Side Up,North,276.46733694442634
59,Sunny Side Up,North,340.4061504641799
60,Sunny Side Up,North,357.7052857130276
61,Sunny Side Up,North,281.87509515763224
62,Sunny Side Up,North,346.8769444905663
63,Sunny Side Up,North,325.1443241261839
64,Sunny Side Up,North,321.84709138069286
65,Sunny Side Up,North,295.86761962336305
66,Sunny Side Up,North,349.1210944517453
67,Sunny Side Up,North,329.64977194909915
68,Sunny Side Up,North,350.6212938244387
69,Sunny Side Up,North,355.2939291577165
70,Sunny Side Up,North,301.08094493025555
71,Sunny Side Up,North,342.6533066413442
72,Sunny Side Up,North,313.1884500962268
73,Sunny Side Up,North,313.06802221124894
74,Sunny Side Up,North,351.07215568782055
75,Sunny Side Up,North,296.69546598678204
76,Sunny Side Up,North,315.517050192326
77,Sunny Side Up,North,317.3319860916897
78,Sunny Side Up,North,343.24246047205145
79,Sunny Side Up,North,305.15649978222734
80,Sunny Side Up,North,338.51183882524094
81,Sunny Side Up,North,337.39353374991924
82,Sunny Side Up,North,315.95098455803424
83,Sunny Side Up,North,322.10008225207304
84,Sunny Side Up,North,330.9341802355387
85,Sunny Side Up,North,299.03440560485484
86,Sunny Side Up,North,366.1164332205866
87,Sunny Side Up,North,313.13865803586873
88,Sunny Side Up,North,347.22483383450907
89,Sunny Side Up,North,323.19187815257135
90,Sunny Side Up,North,315.40847876901154
91,Sunny Side Up,North,343.21726345762147
92,Sunny Side Up,North,357.9446543850134
93,Sunny Side Up,North,349.8156300862591
94,Sunny Side Up,North,316.97277462254806
95,Sunny Side Up,North,320.1971064995163
96,Sunny Side Up,North,383.00776959420057
97,Sunny Side Up,North,358.4640826285747
98,Sunny Side Up,North,310.30161953541165
99,Sunny Side Up,North,326.0177376879297
100,Sunny Side Up,North,322.3798845121904
101,Panel du Soliel,South,339.20643898378603
102,Panel du Soliel,South,278.37840771370696
103,Panel du Soliel,South,309.10238917353166
104,Panel du Soliel,South,275.01528268173246
105,Panel du Soliel,South,295.28612195026193
106,Panel du Soliel,South,369.10244410185146
107,Panel du Soliel,South,272.85726240668396
108,Panel du Soliel,South,318.5636628337857
109,Panel du Soliel,South,293.04876477203544
110,Panel du Soliel,South,266.9199957229409
111,Panel du Soliel,South,318.17095815596963
112,Panel du Soliel,South,293.62444652146286
113,Panel du Soliel,South,297.85762321641903
114,Panel du Soliel,South,335.53512250833506
115,Panel du Soliel,South,316.00515502932444
116,Panel du Soliel,South,331.6719748564224
117,Panel du Soliel,South,269.00758581828507
118,Panel du Soliel,South,317.80779166793445
119,Panel du Soliel,South,315.26744029308765
120,Panel du Soliel,South,330.99848244879735
121,Panel du Soliel,South,307.22992232560574
122,Panel du Soliel,South,294.74754591270874
123,Panel du Soliel,South,285.9115460602209
124,Panel du Soliel,South,325.4407647602671
125,Panel du Soliel,South,272.8674315919251
126,Panel du Soliel,South,297.6290177647115
127,Panel du Soliel,South,332.219508245458
128,Panel du Soliel,South,332.6407509512365
129,Panel du Soliel,South,330.0257236118962
130,Panel du Soliel,South,298.6566596471514
131,Panel du Soliel,South,296.48373973505306
132,Panel du Soliel,South,266.33869765761744
133,Panel du Soliel,South,311.80260515321754
134,Panel du Soliel,South,319.2756631157796
135,Panel du Soliel,South,329.63205811944226
136,Panel du Soliel,South,311.463505646529
137,Panel du Soliel,South,342.56089847467615
138,Panel du Soliel,South,304.07646072335245
139,Panel du Soliel,South,296.5237339605987
140,Panel du Soliel,South,299.37874396532453
141,Panel du Soliel,South,319.11031846780656
142,Panel du Soliel,South,320.39155447371996
143,Panel du Soliel,South,301.4564487154141
144,Panel du Soliel,South,280.9201337951642
145,Panel du Soliel,South,327.6134015611115
146,Panel du Soliel,South,320.9007200794255
147,Panel du Soliel,South,301.2057648117434
148,Panel du Soliel,South,313.8941538655401
149,Panel du Soliel,South,313.4221521675691
150,Panel du Soliel,South,343.1809162940207
151,Function in the Sun,South,317.636048958164
152,Function in the Sun,South,310.3196961308393
153,Function in the Sun,South,318.5381859578517
154,Function in the Sun,South,320.570258443566
155,Function in the Sun,South,301.81515392942265
156,Function in the Sun,South,317.70363880339505
157,Function in the Sun,South,309.6987826895113
158,Function in the Sun,South,329.42826968489794
159,Function in the Sun,South,335.80353956560793
160,Function in the Sun,South,316.8423888131656
161,Function in the Sun,South,314.1475419162852
162,Function in the Sun,South,323.717275646048
163,Function in the Sun,South,311.39825122591094
164,Function in the Sun,South,305.8502138963086
165,Function in the Sun,South,309.9705669786243
166,Function in the Sun,South,318.99070156317214
167,Function in the Sun,South,314.7422222268237
168,Function in the Sun,South,319.23448909679814
169,Function in the Sun,South,325.36287641009625
170,Function in the Sun,South,326.7400450325586
171,Function in the Sun,South,327.8110386952113
172,Function in the Sun,South,319.48657891620803
173,Function in the Sun,South,306.8779370225308
174,Function in the Sun,South,309.51118246881475
175,Function in the Sun,South,317.5514605920367
176,Function in the Sun,South,318.90807617301795
177,Function in the Sun,South,309.1030426880255
178,Function in the Sun,South,304.2248655098262
179,Function in the Sun,South,298.7810556665859
180,Function in the Sun,South,310.2906613989347
181,Function in the Sun,South,318.91858265971564
182,Function in the Sun,South,314.6746359201472
183,Function in the Sun,South,320.35956634367454
184,Function in the Sun,South,321.6146666502155
185,Function in the Sun,South,312.5071257169653
186,Function in the Sun,South,313.6469972481
187,Function in the Sun,South,332.20311538140095
188,Function in the Sun,South,319.9401334828166
189,Function in the Sun,South,336.565789499495
190,Function in the Sun,South,309.3896395295444
191,Function in the Sun,South,325.82624120242895
192,Function in the Sun,South,321.40641576321667
193,Function in the Sun,South,325.0310739964162
194,Function in the Sun,South,319.3324203507087
195,Function in the Sun,South,309.67214806499226
196,Function in the Sun,South,313.43034921892263
197,Function in the Sun,South,316.85876416710494
198,Function in the Sun,South,327.18078516235875
199,Function in the Sun,South,323.8496661912052
200,Function in the Sun,South,316.1653825305387
201,Bright Future,South,287.2823812890987
202,Bright Future,South,298.14722007040643
203,Bright Future,South,315.26590353030565
204,Bright Future,South,282.3754546296652
205,Bright Future,South,295.1892335385704
206,Bright Future,South,298.5186042289422
207,Bright Future,South,269.4018050473737
208,Bright Future,South,297.9813761673415
209,Bright Future,South,339.084059045387
210,Bright Future,South,281.46616381453964
211,Bright Future,South,270.78082470271653
212,Bright Future,South,340.3453510818607
213,Bright Future,South,320.7173709301277
214,Bright Future,South,284.89018323157427
215,Bright Future,South,296.6618913894257
216,Bright Future,South,301.863573057158
217,Bright Future,South,307.54295140354014
218,Bright Future,South,371.38323731185164
219,Bright Future,South,282.75986270010037
220,Bright Future,South,292.8592925304518
221,Bright Future,South,283.711091146648
222,Bright Future,South,313.1939870866642
223,Bright Future,South,326.14250778262493
224,Bright Future,South,366.19650432140855
225,Bright Future,South,335.8696558093148
226,Bright Future,South,308.45197684069467
227,Bright Future,South,321.55606699409685
228,Bright Future,South,303.52766080916905
229,Bright Future,South,287.09655142911737
230,Bright Future,South,300.29860926654925
231,Bright Future,South,260.187432336387
232,Bright Future,South,318.2038076848471
233,Bright Future,South,338.5402340664392
234,Bright Future,South,320.8619521490292
235,Bright Future,South,294.6688825410892
236,Bright Future,South,364.4335360095257
237,Bright Future,South,345.81991434316194
238,Bright Future,South,314.148117836393
239,Bright Future,South,284.69793677723095
240,Bright Future,South,321.14335679275564
241,Bright Future,South,304.36765270003326
242,Bright Future,South,300.84093418861886
243,Bright Future,South,282.4099044171738
244,Bright Future,South,330.75453095728113
245,Bright Future,South,297.90951933969785
246,Bright Future,South,315.6981487009377
247,Bright Future,South,273.97519058667956
248,Bright Future,South,340.4605645457926
249,Bright Future,South,220.87408434510698
250,Bright Future,South,255.38655195535443
